czech,english,block_id,grammar_chunk_id
euro,euro,,
šunka,ham,,
šroub,screw,,
podat,hand,,
kabelka,handbag,,
obrazovka,screen,,
založit,establish,,
handicap,handicap,,
handicapované,handicapped,,
sudý,even,,
udeřit,blow,,
plátek,slice,,
provádět,guide,,
průvodce,guidebook,,
lyže,ski,,
velmi,greatly,,
lyžování,skiing,,
chamtivý,greedy,,
existovat,exist,,
vystavit,exhibit,,
výstava,exhibition,,
tajemník,secretary,,
gril,grill,,
grilovat,grill,,

"Když zahřívám led, taje","If I heat ice, it melts",68,58
"Když se dotkneš ohně, pálí","If you touch fire, it burns",68,58
"Když jí příliš rychle, je mu špatně","If he eats too fast, he feels sick",68,58
"Když smíchá barvy, vznikne zelená","If she mixes the colours, it turns green",68,58
"Když se ochladí, voda zmrzne","If it gets cold, water freezes",68,58
"Když necháme mléko venku, zkazí se","If we leave milk out, it spoils",68,58
"Když stisknete tlačítko, světlo se rozsvítí","If you press the button, the light comes on",68,58
"Když nezalévají rostliny, zemřou","If they don't water the plants, they die",68,58
