czech,english,grammar_chunk_id,block_id
odpočívat,rest,,
nastavit,set,,
měl by,should,,
nahoru,up,,
věk,age,,
protože,because,,
kamera,camera,,
šaty,dress,,
zdarma,free,,
nemocný,ill,,
jako,like,,
pamatovat,remember,,
studium,study,,
také,also,,
třída,class,,
řídit,drive,,
velký,great,,
změna,change,,
setkat se,meet,,
potřebovat,need,,
hezký,pretty,,
docela,quite,,
skutečný,real,,
vzít,take,,
akce,action,,
sám,alone,,
snídaně,breakfast,,
pokračovat,continue,,
mrtvý,dead,,
užívat si,enjoy,,
plný,full,,
zahrada,garden,,
cena,price,,
výsledek,result,,
říct,tell,,
výhled,view,,
s,with,,
proti,against,,
autobus,bus,,
společnost,company,,
Kdo jsem?,Who am I?,7,12
Kdo jsi?,Who are you?,7,12
Kdo je tady?,Who's here?,7,12
Kdo je tam?,Who's there?,7,12
Kdo je doma?,Who's at home?,7,12
Kdo je uvnitř?,Who's inside?,7,12
Kdo je přátelský?,Who's friendly?,7,12
Kdo je připravený?,Who's ready?,7,12
Kdo jsme?,Who are we?,7,
Co je to?,What is it?,7,
Co je toto?,What's this?,7,
Co je tam?,What's there?,7,
Co je uvnitř?,What's inside?,7,
Co je špatně?,What's wrong?,7,
Co je nové?,What's new?,7,
Co je obtížné?,What's difficult?,7,
Co jsou tyto věci?,What are these things?,7,
Co jsou tamty věci?,What are those things?,7,
Kde jsi?,Where are you?,7,
Kde je on?,Where's he?,7,
Kde je ona?,Where's she?,7,
Kde jsme?,Where are we?,7,
Kde jsou lidé?,Where are people?,7,
Kde je domov?,Where's home?,7,
Odkud jsi?,Where are you from?,7,
Kde je tento počítač?,Where's this computer?,7,
Proč jsi unavený?,Why are you tired?,7,
Proč je naštvaný?,Why's he angry?,7,
Proč je to snadné?,Why's it easy?,7,
Jak se máš?,How are you?,7,
Kdo je tento učitel?,Who's this teacher?,7,
Kdo je tento chlapec?,Who's this boy?,7,
Kdo je tato dívka?,Who's this girl?,7,
Co je na tomto stole?,What's on this table?,7,
Co je v tomto pokoji?,What's in this room?,7,
Co je mezi tímto domem a školou?,What's between this house and school?,7,
Kde je tento telefon?,Where's this phone?,7,
Proč je doma?,Why's he at home?,7,
Jaká je škola?,How's school?,7,
Jaký je život?,How's life?,7,


