czech,english,block_id,grammar_chunk_id,
ovládat,control,,,
milý,dear,,,
šéf,chief,,,
pozvat,invite,,,
pozdní,late,,,
většina,most,,,
pouze,only,,,
produkt,product,,,
služba,service,,,
měl by,shall,,,
zůstat,stay,,,
manželka,wife,,,
daleko,away,,,
péče,care,,,
náklady,cost,,,
hluboký,deep,,,
dost,enough,,,
bojovat,fight,,,
garáž,garage,,,
hvězda,star,,,
ponechat,keep,,,
chybět,miss,,,
žádost,request,,
sezóna,season,,
nemocný,sick,,
vítat,welcome,,
souhlasit,agree,,
most,bridge,,
dort,cake,,
jiný,other,,,
hráč,player,,,
spíše,rather,,,
zůstat,remain,,,
strana,side,,,
jih,south,,,
pravda,true,,,
použít,use,,,
již,already,,,
stát se,become,,,
způsobit,cause,,,
můj,my,15,9,
tvůj,your,15,9,
jeho (on),his,15,9,
její,her,15,9,
jeho (ono),its,15,9,
náš,our,15,9,
váš,your,13,9,
jejich,their,13,9,
Tomovo,Tom's,16,10,
Annina,Anna's,16,10,
lidí,people's,16,10,
studentů,students',16,10,
Tomův pes,Tom's dog,16,10,
Annina kočka,Anna's cat,16,10,
domy lidí,people's houses,16,10,
mužovo auto,man's car,16,10,
můj otec,my father,,9,
tvůj bratr,your brother,,9,
jeho sestra,his sister,,9,
její auto,her car,,9,
jeho (ono) jídlo,its food,,9,
naše škola,our school,,9,
vaše kniha,your book,,9,
jejich dům,their house,,9,
můj telefon,my phone,,9,
tvůj počítač,your computer,,9,
jeho kabát,his coat,,9,
její klobouk,her hat,,9,
jeho (ono) jméno,its name,,9,
naše kancelář,our office,,9,
vaše zahrada,your garden,,9,
jejich kuchyně,their kitchen,,9,
moje matka,my mother,,9,
tvoje taška,your bag,,9,
jeho pes,his dog,,9,
její sestra,her sister,,9,
jeho (ono) okno,its window,,9,
naše ložnice,our bedroom,,9,
vaše boty,your shoes,,9,
jejich rodina,their family,,9,
