czech,english,block_id,grammar_chunk_id,
poušť,desert,,,
drahý,expensive,,,
květina,flower,,,
kostel,church,,,
možné,possible,,,
nemožné,impossible,,,
opustit,leave,,,
plán,plan,,,
vrátit se,return,,,
uložit,save,,,
moře,sea,,,
spolu,together,,,
armáda,army,,,
kryt,cover,,,
kultura,culture,,,
rozhodnutí,decision,,,
příklad,example,,,
cítit,feel,,,
ostrov,island,,,
člen,member,,,
další,next,,,
pozice,position,,,
současný,present,,,
záznam,record,,,
sladký,sweet,,,
zkusit,try,,,
policie,police,,,
svět,world,,,
chytit,catch,,,
roh,corner,,,
vzdálenost,distance,,,
vzdělání,education,,,
zájem,interest,,,
část,part,,,
prezident,president,,,
kolo,round,,,
několik,several,,,
zvuk,sound,,,
příběh,story,,,
téměř,almost,,,
kočky,cats,13,8,
psy,dogs,13,8
domy,houses,13,8,
stoly,tables,13,8,
děti,children,13,8,
myši,mice,13,8,
muži,men,13,8,
ženy,women,13,8,
mnoho (nepočítatelných),much,14,8,
mnoho (počítatelných),many,14,8,
málo (nepočítatelných),little,14,8,
málo (počítatelných),few,14,8,
trochu (nepočítatelných),a little,14,8,
několik (počítatelných),a few,14,8,
mnoho vody,much water,,8,
mnoho aut,many cars,,8,
málo cukru,little sugar,,8,
málo knih,few books,,8,
trochu mléka,a little milk,,8,
několik studentů,a few students,,8,
ovce (pl.),sheep,,8,
ryby (pl.),fish,,8,
chodidla,feet,,8,
zub,tooth,,8,
mnoho vzduchu,much air,,8,
mnoho lidí,many people,,8,
málo peněz,little money,,8,
málo myší,few mice,,8,
trochu vody,a little water,,8,
několik ovcí,a few sheep,,8,
mnoho cukru,much sugar,,8,
mnoho ryb,many fish,,8,
málo chleba,little bread,,8,
málo židlí,few chairs,,8,
trochu čaje,a little tea,,8,
několik lékařů,a few doctors,,8,
málo pomoci,little help,,8,
málo koní,few horses,,8,
trochu soli,a little salt,,8,
několik přátel,a few friends,,8,
