czech,english,block_id,grammar_chunk_id,note_id,topic_id
já,I,4,,,3
ty,you,4,,,3
on,he,4,,,3
ona,she,4,,,3
ono,it,4,,,3
my,we,4,,,3
vy,you,4,,,3
oni,they,4,,,3
leden,January,5,,,4
únor,February,5,,,4
březen,March,5,,,4
duben,April,5,,,4
květen,May,5,,,4
červen,June,5,,,4
červenec,July,6,,,4
srpen,August,6,,,4
září,September,6,,,4
říjen,October,6,,,4
listopad,November,6,,,4
prosinec,December,6,,,4
tam,there,,,,
dítě,child,,,,
muž,man,,,,
žena,woman,,,,
jídlo,food,,,,
pití,drink,,,,
obtížný,difficult,,,,
po,after,,,,
poledne,noon,,,,
kdo,who,,,,
co,what,,,,
kde,where,,,,
proč,why,,,,
jak,how,,,,
mít,have,,,,
číslo,number,,,,
bochník,loaf,,,,
šálek,cup,,,,
sklenice,glass,,,,
myš,mouse,,,,
dopis,letter,,,,
věc,thing,,,,
žádný,none,,,,
nic,nothing,,,,
nějaký,some,,,,
něco,something,,,,
jakýkoliv,any,,,,
cokoliv,anything,,,,
